Numbers 33

1 -
2  different, length same at 152; different word(s): (LORD: - Lord:)
3 -
4  different, length same at 134; different word(s): (LORD - Lord) (LORD - Lord)
5 -
6 -
7 -
8  different, lengths different;  Gutenberg (length=181): And they departed from before Pihahiroth, and passed through the midst of the sea into the wilderness, and went three days' journey in the wilderness of Etham, and pitched in Marah.; Biblegateway (length=180): And they departed from before Pihahiroth, and passed through the midst of the sea into the wilderness, and went three days'journey in the wilderness of Etham, and pitched in Marah.
9 -
10 -
11 -
12 -
13 -
14 -
15 -
16 -
17 -
18 -
19 -
20 -
21 -
22 -
23 -
24 -
25 -
26 -
27 -
28 -
29 -
30 -
31 -
32 -
33 -
34 -
35 -
36 -
37 -
38  different, length same at 214; different word(s): (LORD, - Lord,)
39 -
40 -
41 -
42 -
43 -
44 -
45 -
46 -
47 -
48 -
49 -
50  different, length same at 83; different word(s): (LORD - Lord)
51 -
52 -
53 -
54 -
55 -
56 -
